,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
88,85,Dennis Schroder,OKC,26,65,40,25,30.8,108.5,103.0,5.5,22.2,1.58,17.6,1.0,9.9,5.6,11.1,53.4,57.5,26.2,101.47,12.2
89,85,Jae Crowder,MIA,29,65,29,36,28.8,109.0,111.9,-2.9,11.7,2.33,19.1,2.6,16.9,9.8,8.2,52.1,55.3,15.2,103.18,8.9
90,85,Josh Hart,NOP,25,65,26,39,27.0,108.2,111.2,-3.1,8.4,1.44,14.1,3.2,19.5,11.3,9.8,53.7,56.3,15.0,104.90,9.1
91,85,Justin Jackson,DAL,25,65,39,26,16.1,112.4,111.9,0.5,6.7,3.71,12.1,2.4,11.9,7.1,3.3,46.6,49.6,15.0,101.69,6.1
92,85,Kevin Knox II,NYK,20,65,21,44,17.9,101.3,108.6,-7.3,7.6,1.36,11.0,2.1,12.8,7.2,8.1,44.0,47.0,17.2,102.29,5.6
93,85,Lou Williams,LAC,33,65,44,21,28.7,111.5,107.4,4.0,29.4,2.01,22.5,1.6,8.1,4.9,11.2,47.7,54.6,27.1,105.00,12.4
94,85,Matisse Thybulle,PHI,23,65,40,25,19.8,107.7,105.3,2.4,8.1,1.55,19.1,3.3,4.9,4.1,12.3,52.8,53.9,10.8,102.32,4.4
95,85,Miles Bridges,CHA,22,65,23,42,30.7,104.4,114.0,-9.7,9.2,1.20,11.2,4.2,13.8,8.8,9.3,48.9,52.0,19.6,97.15,8.2
96,85,Ricky Rubio,PHX,29,65,32,33,31.0,112.4,108.4,4.0,37.7,3.29,37.1,2.3,12.8,7.5,11.3,47.1,53.5,19.9,103.53,12.0
97,85,Tomas Satoransky,CHI,28,65,22,43,28.9,107.3,108.8,-1.5,26.9,2.72,32.6,4.0,10.1,6.9,12.0,48.8,53.3,16.5,100.82,9.4
98,85,Tyus Jones,MEM,24,65,32,33,19.0,106.9,109.2,-2.3,31.4,5.18,35.9,0.7,7.1,3.8,6.9,51.4,53.2,16.5,106.40,10.8
99,100,Alex Caruso,LAL,26,64,48,16,18.4,110.8,101.0,9.8,13.8,2.34,24.3,1.4,8.5,5.1,10.4,48.1,52.5,13.6,102.84,7.2
100,100,Jaxson Hayes,NOP,20,64,28,36,16.9,107.9,109.7,-1.8,7.4,1.06,12.4,8.5,14.0,11.3,11.8,67.4,68.9,14.6,107.38,9.6
101,100,Julius Randle,NYK,25,64,21,43,32.5,105.7,111.6,-5.9,15.8,1.03,12.8,6.7,22.3,14.2,12.4,49.2,53.8,27.1,99.72,13.1
102,100,Seth Curry,DAL,29,64,38,26,24.6,114.0,110.6,3.4,11.7,2.00,15.6,1.6,7.0,4.3,7.8,62.1,64.3,17.6,101.17,9.3
103,100,Spencer Dinwiddie,BKN,27,64,30,34,31.2,110.5,109.4,1.1,34.4,2.48,23.8,1.5,8.5,5.1,9.6,47.6,54.1,28.7,101.70,12.1
104,100,Taurean Prince,BKN,26,64,30,34,29.0,109.6,108.4,1.3,9.0,0.91,11.4,2.4,16.2,9.3,12.5,47.5,49.7,20.0,102.06,7.4
105,100,Thaddeus Young,CHI,32,64,22,42,24.9,101.9,108.1,-6.2,11.3,1.15,13.7,5.4,14.5,9.7,12.0,51.3,52.1,19.2,102.37,8.9
106,107,Bojan Bogdanovic,UTA,31,63,41,22,33.1,113.5,108.0,5.5,9.9,0.82,9.8,2.0,10.0,6.2,11.9,54.8,60.3,25.2,99.45,10.5
107,107,Bryn Forbes,SAS,26,63,27,36,25.1,108.0,114.8,-6.8,9.7,1.89,13.9,0.7,7.1,3.9,7.3,54.4,57.0,18.5,100.41,6.4
108,107,Danuel House Jr.,HOU,27,63,40,23,30.4,112.0,108.7,3.3,6.1,1.57,11.9,2.7,10.1,6.4,7.6,54.6,57.2,13.5,104.70,7.0
109,107,De'Andre Hunter,ATL,22,63,19,44,32.0,108.0,113.6,-5.5,7.9,1.09,11.7,2.1,11.6,6.8,10.7,48.9,52.1,17.3,103.96,5.8
110,107,Devonte' Graham,CHA,25,63,23,40,35.1,107.4,111.8,-4.5,34.5,2.60,27.5,1.8,7.8,4.7,10.6,49.5,53.7,24.3,97.32,10.9
111,107,Ersan Ilyasova,MIL,33,63,48,15,15.7,109.5,105.3,4.2,6.5,1.44,11.2,5.9,21.2,13.8,7.8,54.6,58.9,15.8,107.93,10.5
112,107,Giannis Antetokounmpo,MIL,25,63,51,12,30.4,112.8,97.4,15.4,32.8,1.54,17.0,6.8,30.7,19.6,11.0,58.9,61.3,36.3,107.47,23.9
113,107,Gorgui Dieng,MEM,30,63,20,43,17.4,99.6,103.2,-3.6,10.7,1.22,13.5,7.4,22.1,14.6,11.1,53.0,56.8,17.5,103.14,13.1
114,107,JaMychal Green,LAC,30,63,43,20,20.7,110.7,105.7,5.0,5.1,0.91,10.3,5.5,20.9,13.4,11.3,56.0,57.6,13.2,104.66,8.3
