,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
128,Devontae Cacok,LAL,23,1.0,3.0,33.3,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
129,Devonte' Graham,CHA,25,1.2,2.7,45.0,0.3,1.0,34.4,0.3,1.0,36.1,0.4,1.1,37.3,0.7,1.7,38.2,2.7,7.4,36.7,,,
130,Dewan Hernandez,TOR,23,0.5,1.8,27.3,0.2,0.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,50.0,,,
131,Dewayne Dedmon,ATL,30,1.4,2.2,63.9,0.2,0.6,28.0,0.1,0.2,50.0,0.1,0.3,46.2,0.1,0.9,15.0,0.4,1.6,22.9,,,
132,Dillon Brooks,MEM,24,1.7,3.2,51.7,0.5,1.5,33.0,0.9,2.2,43.0,0.7,1.6,41.4,0.7,2.0,33.6,1.5,4.1,37.2,,,
133,Dion Waiters,LAL,28,1.8,3.4,52.9,0.1,0.2,50.0,0.2,0.2,100,0.4,1.2,33.3,0.6,1.7,35.3,1.0,3.0,33.3,,,
134,Domantas Sabonis,IND,24,5.4,8.5,62.9,0.6,1.5,38.9,0.2,0.5,33.3,0.7,1.5,49.5,0.3,0.8,38.3,0.2,0.8,25.5,,,
135,Donovan Mitchell,UTA,23,2.7,4.8,55.6,1.2,3.0,41.5,1.2,2.3,50.3,0.9,1.9,49.2,1.1,2.7,39.9,1.6,4.6,35.6,,,
136,Donta Hall,BKN,22,1.4,2.0,72.2,0.3,0.4,66.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
137,Donte DiVincenzo,MIL,23,1.8,3.0,61.6,0.1,0.3,26.3,0.1,0.2,43.8,0.2,0.4,48.0,0.2,0.9,25.4,1.1,2.8,38.0,,,
138,Dorian Finney-Smith,DAL,27,1.7,2.6,64.5,0.1,0.3,25.0,0.0,0.0,33.3,0.0,0.1,28.6,1.1,2.6,41.8,0.5,1.7,31.7,,,
139,Doug McDermott,IND,28,1.6,2.3,67.7,0.2,0.4,43.3,0.1,0.2,25.0,0.1,0.4,30.0,0.7,1.6,42.5,1.2,2.9,42.9,,,
140,Dragan Bender,GSW,22,1.3,2.3,58.3,0.3,0.8,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,44.4,0.4,1.5,29.2,,,
141,Draymond Green,GSW,30,1.3,2.2,59.1,0.3,0.9,34.2,0.3,0.6,44.0,0.2,0.6,29.2,0.1,0.6,23.1,0.7,2.5,28.4,,,
142,Drew Eubanks,SAS,23,1.2,1.8,65.8,0.7,1.1,66.7,0.1,0.2,50.0,0.1,0.1,100,0.0,0.1,33.3,0.0,0.0,0.0,,,
143,Duncan Robinson,MIA,26,0.6,0.8,80.0,0.1,0.1,60.0,0.0,0.1,20.0,0.0,0.2,18.2,1.4,2.9,48.6,2.2,5.1,42.5,,,
144,Dusty Hannahs,MEM,26,0.5,0.5,100,0.5,2.0,25.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,100,,,
145,Dwayne Bacon,CHA,24,1.1,2.7,40.0,0.3,0.8,41.9,0.1,0.5,21.1,0.2,0.5,38.9,0.1,0.5,20.0,0.4,1.3,30.6,,,
146,Dwight Howard,LAL,34,2.7,3.6,75.2,0.1,0.3,50.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,33.3,0.0,0.0,66.7,,,
147,Dwight Powell,DAL,28,3.3,4.3,77.3,0.1,0.4,21.4,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.4,28.6,0.2,0.6,24.0,,,
148,Dzanan Musa,BKN,21,1.0,2.0,51.3,0.1,0.3,22.2,0.1,0.2,50.0,0.0,0.0,0.0,0.2,0.7,22.2,0.3,1.3,24.5,,,
149,E'Twaun Moore,NOP,31,1.2,1.9,62.5,0.6,1.4,42.7,0.3,0.9,26.4,0.1,0.4,34.8,0.7,1.8,36.3,0.5,1.4,38.0,,,
