,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
338,Malcolm Brogdon,IND,54,34,20,30.9,16.5,77.3,27.1,6.8,5.29,5.43,0.214,0.5,0.3,1.0,1.154,0.375,0.830
339,Malcolm Miller,TOR,28,24,4,5.8,1.3,6.0,4.1,0.2,1.86,0.75,0.210,0.1,0.0,0.3,0.000,0.000,0.250
340,Malik Beasley,MIN,55,30,25,22.0,11.2,29.0,18.5,1.2,2.45,1.83,0.386,0.3,0.0,0.6,0.706,0.000,0.968
341,Malik Monk,CHA,54,18,36,21.0,9.9,31.9,21.6,1.5,2.75,2.15,0.309,0.2,0.0,1.1,0.182,0.000,1.017
342,Malik Newman,CLE,1,0,1,3.7,2.0,9.0,3.0,0.8,5.11,4.56,0.222,0.0,0.0,0.0,0.000,0.000,0.000
343,Marc Gasol,TOR,43,34,9,26.6,7.6,52.7,34.2,1.3,1.45,0.38,0.145,3.7,2.1,2.1,0.206,0.456,0.571
344,Marco Belinelli,SAS,56,26,30,15.6,6.4,17.9,13.0,0.7,2.20,1.47,0.356,0.4,0.0,0.5,0.600,0.000,1.067
345,Marcus Morris Sr.,LAC,62,26,36,31.2,16.7,42.5,30.1,1.8,2.61,1.66,0.392,0.8,2.2,1.3,0.745,0.627,0.696
346,Marcus Smart,BOS,60,39,21,32.0,12.9,58.7,29.1,3.5,3.61,2.89,0.220,0.8,0.9,1.5,0.333,0.415,0.429
347,Marial Shayok,PHI,4,2,2,7.0,2.8,9.0,5.8,0.5,3.46,2.97,0.306,0.0,0.0,0.3,0.000,0.000,0.000
348,Mario Hezonja,POR,52,23,29,16.7,4.9,27.2,9.6,1.4,3.00,1.91,0.181,0.2,0.1,0.7,0.400,1.000,0.629
349,Markelle Fultz,ORL,72,33,39,27.7,12.1,60.2,18.7,5.6,5.59,5.48,0.201,0.4,0.3,1.2,0.645,0.273,0.807
350,Markieff Morris,LAL,57,22,35,20.5,9.5,30.9,19.7,0.8,1.58,0.63,0.309,0.9,1.9,1.5,0.547,0.722,0.932
351,Marko Guduric,MEM,44,19,25,11.0,3.9,16.0,11.0,0.7,2.57,1.66,0.246,0.2,0.0,0.5,0.667,0.000,0.950
352,Marques Bolden,CLE,1,0,1,2.8,0.0,3.0,0.0,0.1,1.01,0.00,0.000,0.0,0.0,0.0,0.000,0.000,0.000
353,Marquese Chriss,GSW,59,15,44,20.3,9.3,42.1,25.6,1.0,1.48,0.50,0.221,2.4,1.9,5.0,0.439,0.398,0.987
354,Marvin Bagley III,SAC,13,2,11,25.7,14.2,40.9,23.2,1.3,1.84,0.73,0.348,3.5,3.0,6.9,0.609,0.410,0.933
355,Marvin Williams,MIL,57,21,36,19.3,5.7,23.9,14.8,0.5,1.28,0.43,0.239,0.4,1.2,1.1,0.600,0.571,1.000
356,Mason Plumlee,DEN,61,38,23,17.3,7.2,33.0,20.8,1.1,2.03,0.77,0.217,2.6,2.4,5.2,0.449,0.422,0.946
357,Matisse Thybulle,PHI,65,40,25,19.8,4.7,18.5,12.3,0.4,1.43,0.88,0.254,0.2,0.0,0.9,0.400,0.000,0.534
358,Matt Mooney,CLE,4,0,4,4.7,0.5,5.8,2.5,0.2,2.41,2.09,0.087,0.0,0.0,0.3,0.000,0.000,0.000
359,Matt Thomas,TOR,40,30,10,10.9,5.0,13.1,9.9,0.4,1.96,1.32,0.384,0.2,0.0,0.3,0.250,0.000,0.545
360,Matthew Dellavedova,CLE,57,17,40,14.4,3.1,29.2,10.9,2.3,4.69,4.56,0.106,0.2,0.2,0.4,0.222,0.444,0.783
